dataset,project_broad_celltype,program,mean_score,detection_fraction
GSE149614,hepatocyte/tumor epithelial,mast,0,0
GSE149614,monocyte/macrophage,mast,0,0
GSE149614,B,mast,0,0
GSE149614,plasma,mast,0,0
GSE149614,hepatocyte/tumor epithelial,endothelial,0.0481713292532679,0.154430379746835
GSE149614,monocyte/macrophage,endothelial,0.0916984002407194,0.227272727272727
GSE149614,B,endothelial,0.063096834143891,0.176470588235294
GSE149614,plasma,endothelial,0.0433099746909035,0.2
GSE149614,hepatocyte/tumor epithelial,fibroblast/mesenchymal,0.0462271384717768,0.136708860759494
GSE149614,monocyte/macrophage,fibroblast/mesenchymal,0.00999969343696007,0.0151515151515152
GSE149614,B,fibroblast/mesenchymal,0,0
GSE149614,plasma,fibroblast/mesenchymal,0,0
GSE149614,B,hepatocyte/tumor epithelial,2.35024617988826,1
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,3.43038411574235,1
GSE149614,T/NK,hepatocyte/tumor epithelial,2.39776737659168,1
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,2.57726485351324,1
GSE149614,fibroblast/mesenchymal,hepatocyte/tumor epithelial,2.62735505927872,1
GSE149614,endothelial,hepatocyte/tumor epithelial,2.51661796917491,1
GSE149614,neutrophil,hepatocyte/tumor epithelial,2.23596585810921,1
GSE149614,plasma,hepatocyte/tumor epithelial,2.02907841128158,1
GSE149614,other/uncertain,hepatocyte/tumor epithelial,2.42326417173923,1
GSE149614,mast,hepatocyte/tumor epithelial,1.42723457885142,1
GSE149614,B,T/NK,0.641294717403772,0.839622641509434
GSE149614,hepatocyte/tumor epithelial,T/NK,1.34134640117347,0.946341463414634
GSE149614,T/NK,T/NK,3.00658506884432,1
GSE149614,monocyte/macrophage,T/NK,0.739478441175145,0.698630136986301
GSE149614,fibroblast/mesenchymal,T/NK,0.400425614610631,1
GSE149614,endothelial,T/NK,0.448249368799423,0.666666666666667
GSE149614,neutrophil,T/NK,3.09438362222723,1
GSE149614,plasma,T/NK,0.19803878360023,0.666666666666667
GSE149614,other/uncertain,T/NK,1.60766461801691,1
GSE149614,mast,T/NK,0,0
GSE149614,B,B,3.89406394706656,1
GSE149614,hepatocyte/tumor epithelial,B,1.51248645516683,0.980487804878049
GSE149614,T/NK,B,1.5612976214381,1
GSE149614,monocyte/macrophage,B,2.70262848587578,1
GSE149614,fibroblast/mesenchymal,B,1.27050803413311,1
GSE149614,endothelial,B,1.58509165463251,1
GSE149614,neutrophil,B,1.60139333656173,1
GSE149614,plasma,B,1.30227324639788,1
GSE149614,other/uncertain,B,1.99559853770873,1
GSE149614,mast,B,1.84122115834329,1
GSE149614,B,plasma,0.904473468953934,0.905660377358491
GSE149614,hepatocyte/tumor epithelial,plasma,0.805561675332659,0.804878048780488
GSE149614,T/NK,plasma,0.585224084033755,0.673267326732673
GSE149614,monocyte/macrophage,plasma,0.679074927155008,0.726027397260274
GSE149614,fibroblast/mesenchymal,plasma,1.18337349805389,1
GSE149614,endothelial,plasma,0.635161366411445,0.666666666666667
GSE149614,neutrophil,plasma,1.15161975158604,1
GSE149614,plasma,plasma,5.82394154036803,1
GSE149614,other/uncertain,plasma,1.01521585330556,0.8
GSE149614,mast,plasma,0.636531542734365,1
GSE149614,B,monocyte/macrophage,2.77840610284318,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,2.21404830273545,1
GSE149614,T/NK,monocyte/macrophage,1.71472418228421,1
GSE149614,monocyte/macrophage,monocyte/macrophage,3.48973359033886,1
GSE149614,fibroblast/mesenchymal,monocyte/macrophage,2.07960095995368,1
GSE149614,endothelial,monocyte/macrophage,1.78728440763059,1
GSE149614,neutrophil,monocyte/macrophage,1.25807884053268,1
GSE149614,plasma,monocyte/macrophage,1.62954924130012,1
GSE149614,other/uncertain,monocyte/macrophage,1.80698525392477,1
GSE149614,mast,monocyte/macrophage,1.61774280211868,1
GSE149614,B,neutrophil,1.06847791915132,0.990566037735849
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.911776956582867,0.985365853658537
GSE149614,T/NK,neutrophil,1.30590783264629,0.99009900990099
GSE149614,monocyte/macrophage,neutrophil,1.17031558252462,0.972602739726027
GSE149614,fibroblast/mesenchymal,neutrophil,0.586704547936467,1
GSE149614,endothelial,neutrophil,0.628079590744004,1
GSE149614,neutrophil,neutrophil,1.97061422183562,1
GSE149614,plasma,neutrophil,0.48644182827815,1
GSE149614,other/uncertain,neutrophil,1.83285102896877,1
GSE149614,mast,neutrophil,0.372360112102637,1
GSE149614,B,dendritic,1.81674715555066,0.830188679245283
GSE149614,hepatocyte/tumor epithelial,dendritic,0.768401337643913,0.736585365853659
GSE149614,T/NK,dendritic,0.846481442570496,0.683168316831683
GSE149614,monocyte/macrophage,dendritic,1.57214730730363,0.876712328767123
GSE149614,fibroblast/mesenchymal,dendritic,1.63722738615835,1
GSE149614,endothelial,dendritic,0.785507689214677,1
GSE149614,neutrophil,dendritic,1.04073333812011,1
GSE149614,plasma,dendritic,0.450974296592422,1
