dataset,source_author_annotation,project_broad_celltype,n_cells,fraction_within_source_author_annotation
GSE282701,(missing),mast,1,9.97605746209098e-05
GSE282701,(missing),fibroblast/mesenchymal,201,0.0200518754988029
GSE282701,(missing),plasma,6,0.000598563447725459
GSE282701,(missing),dendritic,1,9.97605746209098e-05
GSE282701,(missing),monocyte/macrophage,1668,0.154573255490687
GSE282701,(missing),other/uncertain,287,0.0265962376054119
GSE282701,(missing),hepatocyte/tumor epithelial,506,0.0468909276248726
GSE282701,(missing),neutrophil,1038,0.0961912705031971
GSE282701,(missing),B,1534,0.142155499953665
GSE282701,(missing),T/NK,4772,0.442220368825873
GSE282701,(missing),dendritic,70,0.00648688722083218
GSE282701,(missing),plasma,201,0.0186266333055324
GSE282701,(missing),mast,32,0.00296543415809471
GSE282701,(missing),endothelial,603,0.0558798999165972
GSE282701,(missing),fibroblast/mesenchymal,80,0.00741358539523677
GSE282701,(missing),hepatocyte/tumor epithelial,635,0.0525357822453876
GSE282701,(missing),other/uncertain,694,0.0574170596508646
GSE282701,(missing),B,3350,0.277157276412675
GSE282701,(missing),monocyte/macrophage,849,0.07024075452966
GSE282701,(missing),T/NK,5567,0.460577479937123
GSE282701,(missing),endothelial,521,0.043104161495822
GSE282701,(missing),plasma,67,0.0055431455282535
GSE282701,(missing),neutrophil,138,0.0114172251178953
GSE282701,(missing),fibroblast/mesenchymal,173,0.0143128981550426
GSE282701,(missing),dendritic,69,0.00570861255894763
GSE282701,(missing),mast,24,0.00198560436832961
GSE282701,(missing),other/uncertain,1047,0.0916812609457093
GSE282701,(missing),T/NK,7839,0.686427320490368
GSE282701,(missing),plasma,430,0.0376532399299475
GSE282701,(missing),B,925,0.0809982486865149
GSE282701,(missing),neutrophil,84,0.00735551663747811
GSE282701,(missing),endothelial,590,0.0516637478108581
GSE282701,(missing),monocyte/macrophage,248,0.0217162872154116
GSE282701,(missing),mast,24,0.0021015761821366
GSE282701,(missing),dendritic,53,0.00464098073555166
GSE282701,(missing),hepatocyte/tumor epithelial,140,0.0122591943957968
GSE282701,(missing),fibroblast/mesenchymal,40,0.00350262697022767
GSE282701,(missing),monocyte/macrophage,926,0.0744073925271193
GSE282701,(missing),hepatocyte/tumor epithelial,4797,0.385456006428284
GSE282701,(missing),other/uncertain,166,0.013338690237043
GSE282701,(missing),fibroblast/mesenchymal,521,0.0418642024909602
GSE282701,(missing),B,2129,0.171072719967859
GSE282701,(missing),neutrophil,100,0.00803535556448373
GSE282701,(missing),endothelial,1242,0.0997991161108879
GSE282701,(missing),T/NK,2512,0.201848131779831
GSE282701,(missing),mast,11,0.00088388911209321
GSE282701,(missing),dendritic,27,0.00216954600241061
GSE282701,(missing),plasma,14,0.00112494977902772
GSE282701,(missing),dendritic,108,0.00993834544952609
GSE282701,(missing),other/uncertain,713,0.0656114843102972
GSE282701,(missing),T/NK,5103,0.469586822490108
GSE282701,(missing),hepatocyte/tumor epithelial,240,0.022085212110058
GSE282701,(missing),neutrophil,564,0.0519002484586362
GSE282701,(missing),B,1081,0.0994754762123861
GSE282701,(missing),endothelial,1435,0.132051164074722
GSE282701,(missing),monocyte/macrophage,1386,0.127542099935585
GSE282701,(missing),fibroblast/mesenchymal,141,0.0129750621146591
GSE282701,(missing),plasma,90,0.00828195454127174
GSE282701,(missing),mast,6,0.000552130302751449
GSE282701,(missing),other/uncertain,117,0.0119181012529286
GSE282701,(missing),hepatocyte/tumor epithelial,4913,0.500458388509728
GSE282701,(missing),B,1162,0.118366099623103
GSE282701,(missing),T/NK,2504,0.255067739635326
GSE282701,(missing),monocyte/macrophage,520,0.0529693389019049
GSE282701,(missing),neutrophil,78,0.00794540083528573
GSE282701,(missing),mast,7,0.000713048792910258
GSE282701,(missing),endothelial,435,0.0443108892737089
GSE282701,(missing),plasma,5,0.00050932056636447
GSE282701,(missing),fibroblast/mesenchymal,74,0.00753794438219415
GSE282701,(missing),dendritic,2,0.000203728226545788
GSE282701,(missing),neutrophil,1641,0.149931475559616
GSE282701,(missing),other/uncertain,696,0.0635906806761078
GSE282701,(missing),B,965,0.0881681132937414
GSE282701,(missing),hepatocyte/tumor epithelial,224,0.0204659661946094
GSE282701,(missing),T/NK,4882,0.446048423937871
GSE282701,(missing),monocyte/macrophage,1396,0.127546825034262
GSE282701,(missing),endothelial,993,0.0907263590680676
GSE282701,(missing),plasma,34,0.00310644129739607
GSE282701,(missing),mast,10,0.000913659205116492
GSE282701,(missing),fibroblast/mesenchymal,24,0.00219278209227958
GSE282701,(missing),dendritic,80,0.00730927364093193
GSE282701,(missing),T/NK,2940,0.27445855115758
GSE282701,(missing),other/uncertain,166,0.0154966392830471
GSE282701,(missing),monocyte/macrophage,605,0.056478715459298
GSE282701,(missing),fibroblast/mesenchymal,369,0.0344473487677371
GSE282701,(missing),hepatocyte/tumor epithelial,1829,0.170743091859597
GSE282701,(missing),neutrophil,95,0.00886855862584018
GSE282701,(missing),mast,10,0.000933532486930545
GSE282701,(missing),dendritic,144,0.0134428678117999
GSE282701,(missing),plasma,13,0.00121359223300971
GSE282701,(missing),endothelial,3763,0.351288274831964
GSE282701,(missing),B,778,0.0726288274831964
GSE282701,(missing),other/uncertain,657,0.0690924387422442
GSE282701,(missing),B,1083,0.11389210221895
GSE282701,(missing),T/NK,4676,0.491744662950889
GSE282701,(missing),endothelial,933,0.098117572825744
GSE282701,(missing),monocyte/macrophage,1140,0.119886423388369
GSE282701,(missing),neutrophil,300,0.0315490587864129
GSE282701,(missing),dendritic,92,0.00967504469449995
GSE282701,(missing),plasma,153,0.0160900199810706
GSE282701,(missing),hepatocyte/tumor epithelial,386,0.0405931223051846
GSE282701,(missing),mast,36,0.00378588705436954
GSE282701,(missing),fibroblast/mesenchymal,53,0.00557366705226627
GSE299340,(missing),endothelial,1177,0.165704631845699
GSE299340,(missing),T/NK,2417,0.340278755455441
GSE299340,(missing),neutrophil,370,0.0520906659158102
GSE299340,(missing),monocyte/macrophage,1249,0.175841193861749
GSE299340,(missing),B,1065,0.1499366464874
GSE299340,(missing),other/uncertain,120,0.0168942700267493
GSE299340,(missing),fibroblast/mesenchymal,89,0.0125299169365057
GSE299340,(missing),hepatocyte/tumor epithelial,526,0.0740532169505843
GSE299340,(missing),mast,59,0.00830634942981839
GSE299340,(missing),plasma,15,0.00211178375334366
GSE299340,(missing),dendritic,16,0.0022525693368999
GSE299340,(missing),T/NK,2827,0.433522465879466
GSE299340,(missing),hepatocyte/tumor epithelial,27,0.00414046925318203
GSE299340,(missing),neutrophil,825,0.126514338291673
GSE299340,(missing),monocyte/macrophage,1264,0.193835301334151
GSE299340,(missing),endothelial,263,0.0403312375402546
GSE299340,(missing),B,903,0.138475693911977
GSE299340,(missing),other/uncertain,282,0.0432449010887901
GSE299340,(missing),plasma,25,0.0038337678270204
GSE299340,(missing),dendritic,79,0.0121147063333844
GSE299340,(missing),mast,11,0.00168685784388897
GSE299340,(missing),fibroblast/mesenchymal,15,0.00230026069621224
GSE299340,(missing),hepatocyte/tumor epithelial,1367,0.232562095951004
GSE299340,(missing),B,735,0.12504253147329
GSE299340,(missing),T/NK,967,0.164511738686628
GSE299340,(missing),neutrophil,501,0.0852330724736305
GSE299340,(missing),plasma,237,0.0403198366791426
GSE299340,(missing),other/uncertain,168,0.0285811500510378
GSE299340,(missing),monocyte/macrophage,1838,0.312691391629806
GSE299340,(missing),endothelial,27,0.00459339911534536
GSE299340,(missing),mast,1,0.000170125893160939
GSE299340,(missing),fibroblast/mesenchymal,32,0.00544402858115005
GSE299340,(missing),dendritic,5,0.000850629465804695
GSE299340,(missing),T/NK,4108,0.503061474406074
GSE299340,(missing),B,762,0.0933137398971345
GSE299340,(missing),endothelial,140,0.0171442566740142
GSE299340,(missing),monocyte/macrophage,1448,0.177320597599804
GSE299340,(missing),other/uncertain,334,0.0409012980651482
GSE299340,(missing),hepatocyte/tumor epithelial,102,0.0124908155767818
GSE299340,(missing),neutrophil,733,0.0897624295860887
GSE299340,(missing),plasma,466,0.0570658829292187
GSE299340,(missing),dendritic,50,0.00612294881214793
GSE299340,(missing),fibroblast/mesenchymal,11,0.00134704873867255
GSE299340,(missing),mast,12,0.0014695077149155
GSE299340,(missing),monocyte/macrophage,1375,0.213343677269201
GSE299340,(missing),hepatocyte/tumor epithelial,2670,0.414274631497285
GSE299340,(missing),endothelial,168,0.026066718386346
GSE299340,(missing),B,310,0.0480993017843289
GSE299340,(missing),T/NK,1583,0.245616757176106
GSE299340,(missing),plasma,57,0.00884406516679597
GSE299340,(missing),dendritic,39,0.00605120248254461
GSE299340,(missing),neutrophil,102,0.0158262218774244
GSE299340,(missing),fibroblast/mesenchymal,98,0.0152055857253685
GSE299340,(missing),other/uncertain,42,0.0065166795965865
GSE299340,(missing),mast,1,0.000155159038013964
GSE299340,(missing),T/NK,3514,0.422508115907178
GSE299340,(missing),other/uncertain,216,0.0259709029698209
GSE299340,(missing),monocyte/macrophage,2061,0.247805699170374
GSE299340,(missing),plasma,412,0.0495370927016953
GSE299340,(missing),B,783,0.0941445232656006
GSE299340,(missing),neutrophil,1086,0.130575928820488
GSE299340,(missing),endothelial,97,0.0116628592040399
GSE299340,(missing),fibroblast/mesenchymal,25,0.00300589154743297
GSE299340,(missing),hepatocyte/tumor epithelial,44,0.00529036912348203
GSE299340,(missing),mast,56,0.00673319706624985
GSE299340,(missing),dendritic,23,0.00276542022363833
GSE299340,(missing),monocyte/macrophage,902,0.0835185185185185
GSE299340,(missing),hepatocyte/tumor epithelial,6887,0.637685185185185
GSE299340,(missing),B,874,0.0809259259259259
GSE299340,(missing),plasma,677,0.0626851851851852
GSE299340,(missing),T/NK,969,0.0897222222222222
GSE299340,(missing),other/uncertain,105,0.00972222222222222
GSE299340,(missing),endothelial,161,0.0149074074074074
GSE299340,(missing),dendritic,22,0.00203703703703704
GSE299340,(missing),fibroblast/mesenchymal,118,0.0109259259259259
GSE299340,(missing),neutrophil,82,0.00759259259259259
GSE299340,(missing),mast,3,0.000277777777777778
GSE299340,(missing),T/NK,3415,0.47391063003053
GSE299340,(missing),plasma,216,0.0299750208159867
