dataset,sample_id,patient_id,tissue,abundance_eligible,n_cells,n_neutrophil,n_neutrophil_high,n_neutrophil_medium,n_ambiguous_myeloid,n_rescued,n_rescued_neutrophil,n_patients,summary_level,neutrophil_fraction,rescued_fraction
GSE326201,GSM9625171,patient_002,Tumor,YES,4408,96,73,23,27,1014,15,1,sample,0.0217785843920145,0.230036297640653
GSE326201,GSM9625171,patient_002,Tumor,YES,4408,96,73,23,27,1014,15,1,patient_tissue,0.0217785843920145,0.230036297640653
GSE326201,GSM9625172,patient_004,Adjacent,YES,3346,213,164,49,52,625,46,1,sample,0.0636580992229528,0.186790197250448
GSE326201,GSM9625172,patient_004,Adjacent,YES,3346,213,164,49,52,625,46,1,patient_tissue,0.0636580992229528,0.186790197250448
GSE326201,GSM9625173,patient_004,Tumor,YES,5436,66,38,28,51,1625,29,1,sample,0.0121412803532009,0.298933038999264
GSE326201,GSM9625173,patient_004,Tumor,YES,5436,66,38,28,51,1625,29,1,patient_tissue,0.0121412803532009,0.298933038999264
GSE326201,GSM9625174,patient_005,Adjacent,YES,6104,121,98,23,36,1128,32,1,sample,0.0198230668414155,0.184796854521625
GSE326201,GSM9625174,patient_005,Adjacent,YES,6104,121,98,23,36,1128,32,1,patient_tissue,0.0198230668414155,0.184796854521625
GSE326201,GSM9625175,patient_005,Tumor,YES,5260,83,54,29,36,767,23,1,sample,0.0157794676806084,0.145817490494297
GSE326201,GSM9625175,patient_005,Tumor,YES,5260,83,54,29,36,767,23,1,patient_tissue,0.0157794676806084,0.145817490494297
GSE326201,GSM9625176,patient_006,Tumor,YES,4357,25,9,16,44,1551,8,1,sample,0.00573789304567363,0.355978884553592
GSE326201,GSM9625176,patient_006,Tumor,YES,4357,25,9,16,44,1551,8,1,patient_tissue,0.00573789304567363,0.355978884553592
GSE326201,GSM9625177,patient_008,Adjacent,YES,3679,72,56,16,21,519,17,1,sample,0.0195705354715955,0.141070943191085
GSE326201,GSM9625177,patient_008,Adjacent,YES,3679,72,56,16,21,519,17,1,patient_tissue,0.0195705354715955,0.141070943191085
GSE326201,GSM9625178,patient_008,Tumor,YES,5602,24,16,8,43,1160,8,1,sample,0.00428418421992146,0.20706890396287
GSE326201,GSM9625178,patient_008,Tumor,YES,5602,24,16,8,43,1160,8,1,patient_tissue,0.00428418421992146,0.20706890396287
GSE326201,GSM9625179,patient_009,Adjacent,YES,7422,79,49,30,24,1496,19,1,sample,0.0106440312584209,0.20156292104554
GSE326201,GSM9625179,patient_009,Adjacent,YES,7422,79,49,30,24,1496,19,1,patient_tissue,0.0106440312584209,0.20156292104554
GSE326201,GSM9625180,patient_009,Tumor,YES,4564,3,0,3,20,742,0,1,sample,0.000657318141980719,0.162576687116564
GSE326201,GSM9625180,patient_009,Tumor,YES,4564,3,0,3,20,742,0,1,patient_tissue,0.000657318141980719,0.162576687116564
GSE326201,GSM9625181,patient_010,Tumor,YES,5667,18,7,11,28,1399,6,1,sample,0.00317628374801482,0.246867831304041
GSE326201,GSM9625181,patient_010,Tumor,YES,5667,18,7,11,28,1399,6,1,patient_tissue,0.00317628374801482,0.246867831304041
GSE326201,GSM9625182,patient_011,Adjacent,YES,4935,61,46,15,34,347,13,1,sample,0.0123606889564336,0.0703140830800405
GSE326201,GSM9625182,patient_011,Adjacent,YES,4935,61,46,15,34,347,13,1,patient_tissue,0.0123606889564336,0.0703140830800405
GSE326201,GSM9625183,patient_011,Tumor,YES,3121,5,4,1,4,937,1,1,sample,0.00160205062479974,0.300224287087472
GSE326201,GSM9625183,patient_011,Tumor,YES,3121,5,4,1,4,937,1,1,patient_tissue,0.00160205062479974,0.300224287087472
GSE326201,GSM9625184,patient_012,Adjacent,YES,5795,95,57,38,48,780,43,1,sample,0.0163934426229508,0.134598792062123
GSE326201,GSM9625184,patient_012,Adjacent,YES,5795,95,57,38,48,780,43,1,patient_tissue,0.0163934426229508,0.134598792062123
GSE326201,GSM9625185,patient_012,Tumor,YES,4778,94,51,43,60,236,43,1,sample,0.019673503557974,0.0493930514859774
GSE326201,GSM9625185,patient_012,Tumor,YES,4778,94,51,43,60,236,43,1,patient_tissue,0.019673503557974,0.0493930514859774
CRA002308,N01,CRA002308_P01,Adjacent,CONDITIONAL,8273,1203,907,296,212,8273,1203,1,sample,0.145412788589387,1
CRA002308,N01,CRA002308_P01,Adjacent,CONDITIONAL,8273,1203,907,296,212,8273,1203,1,patient_tissue,0.145412788589387,1
CRA002308,N02,CRA002308_P02,Adjacent,CONDITIONAL,12675,1443,825,618,502,12675,1443,1,sample,0.113846153846154,1
CRA002308,N02,CRA002308_P02,Adjacent,CONDITIONAL,12675,1443,825,618,502,12675,1443,1,patient_tissue,0.113846153846154,1
CRA002308,N03,CRA002308_P03,Adjacent,CONDITIONAL,13740,540,297,243,307,13740,540,1,sample,0.0393013100436681,1
CRA002308,N03,CRA002308_P03,Adjacent,CONDITIONAL,13740,540,297,243,307,13740,540,1,patient_tissue,0.0393013100436681,1
CRA002308,N04,CRA002308_P04,Adjacent,CONDITIONAL,10719,903,464,439,338,10719,903,1,sample,0.0842429331094319,1
CRA002308,N04,CRA002308_P04,Adjacent,CONDITIONAL,10719,903,464,439,338,10719,903,1,patient_tissue,0.0842429331094319,1
CRA002308,N05,CRA002308_P05,Adjacent,CONDITIONAL,6541,845,453,392,193,6541,845,1,sample,0.129185139886867,1
CRA002308,N05,CRA002308_P05,Adjacent,CONDITIONAL,6541,845,453,392,193,6541,845,1,patient_tissue,0.129185139886867,1
CRA002308,N06,CRA002308_P06,Adjacent,CONDITIONAL,10384,1102,700,402,439,10384,1102,1,sample,0.106124807395994,1
CRA002308,N06,CRA002308_P06,Adjacent,CONDITIONAL,10384,1102,700,402,439,10384,1102,1,patient_tissue,0.106124807395994,1
CRA002308,N07,CRA002308_P07,Adjacent,CONDITIONAL,4811,401,190,211,127,4811,401,1,sample,0.0833506547495323,1
CRA002308,N07,CRA002308_P07,Adjacent,CONDITIONAL,4811,401,190,211,127,4811,401,1,patient_tissue,0.0833506547495323,1
CRA002308,T01,CRA002308_P01,Tumor,CONDITIONAL,12938,525,265,260,401,12938,525,1,sample,0.0405781419075591,1
CRA002308,T01,CRA002308_P01,Tumor,CONDITIONAL,12938,525,265,260,401,12938,525,1,patient_tissue,0.0405781419075591,1
CRA002308,T02,CRA002308_P02,Tumor,CONDITIONAL,12233,299,159,140,518,12233,299,1,sample,0.024442082890542,1
CRA002308,T02,CRA002308_P02,Tumor,CONDITIONAL,12233,299,159,140,518,12233,299,1,patient_tissue,0.024442082890542,1
CRA002308,T03,CRA002308_P03,Tumor,CONDITIONAL,10562,376,245,131,171,10562,376,1,sample,0.035599318310926,1
CRA002308,T03,CRA002308_P03,Tumor,CONDITIONAL,10562,376,245,131,171,10562,376,1,patient_tissue,0.035599318310926,1
CRA002308,T04,CRA002308_P04,Tumor,CONDITIONAL,16817,569,261,308,709,16817,569,1,sample,0.0338348100136766,1
CRA002308,T04,CRA002308_P04,Tumor,CONDITIONAL,16817,569,261,308,709,16817,569,1,patient_tissue,0.0338348100136766,1
CRA002308,T05,CRA002308_P05,Tumor,CONDITIONAL,9927,853,460,393,311,9927,853,1,sample,0.0859272690641684,1
CRA002308,T05,CRA002308_P05,Tumor,CONDITIONAL,9927,853,460,393,311,9927,853,1,patient_tissue,0.0859272690641684,1
CRA002308,T06,CRA002308_P06,Tumor,CONDITIONAL,20399,166,107,59,321,20399,166,1,sample,0.00813765380655915,1
CRA002308,T06,CRA002308_P06,Tumor,CONDITIONAL,20399,166,107,59,321,20399,166,1,patient_tissue,0.00813765380655915,1
CRA002308,T07,CRA002308_P07,Tumor,CONDITIONAL,8722,579,394,185,405,8722,579,1,sample,0.0663838569135519,1
CRA002308,T07,CRA002308_P07,Tumor,CONDITIONAL,8722,579,394,185,405,8722,579,1,patient_tissue,0.0663838569135519,1
